"userId","questionNumber","graphType","timestamp","correctAnswer","answer","serverTime",
99282852,37,"area",1645843148628,59,60,1645843148727,
697610459,34,"area",1645843150604,86,60,1645843150692,
99282852,38,"bubble",1645843153603,46,60,1645843154083,
746865556,8,"bubble",1645843157399,38,73,1645843157697,
99282852,39,"bar",1645843157681,66,70,1645843157809,
697610459,35,"bubble",1645843159385,70,80,1645843159870,
99282852,40,"area",1645843162218,57,50,1645843162687,
99282852,41,"bubble",1645843165498,97,90,1645843165597,
746865556,9,"bar",1645843165577,31,22,1645843166004,
434848981,38,"bubble",1645843167878,74,70,1645843168144,
99282852,42,"bar",1645843169101,12,20,1645843169200,
697610459,36,"bar",1645843169638,50,50,1645843170103,
746865556,10,"area",1645843171853,7,10,1645843172335,
99282852,43,"area",1645843172355,62,50,1645843172456,
434848981,39,"bar",1645843175238,27,25,1645843175507,
99282852,44,"bubble",1645843176479,22,20,1645843176580,
697610459,37,"area",1645843178448,83,60,1645843178911,
434848981,40,"area",1645843179152,3,3,1645843179201,
746865556,11,"bubble",1645843179035,60,39,1645843179506,
99282852,45,"bar",1645843179685,28,40,1645843179782,
434848981,41,"bubble",1645843181896,39,50,1645843181944,
99282852,46,"area",1645843183691,70,50,1645843183791,
746865556,12,"bar",1645843183992,4,8,1645843184420,
697610459,38,"bubble",1645843185124,48,50,1645843185564,
99282852,47,"bubble",1645843188230,90,70,1645843188695,
697610459,39,"bar",1645843189681,73,75,1645843189768,
746865556,13,"area",1645843190587,88,27,1645843191075,
99282852,48,"bar",1645843191154,38,40,1645843191260,
697610459,40,"area",1645843195590,45,70,1645843196007,
99282852,49,"area",1645843195680,58,60,1645843196204,
697610459,41,"bubble",1645843200485,17,15,1645843200837,
746865556,14,"bubble",1645843201187,16,42,1645843201621,
99282852,50,"bubble",1645843203120,37,60,1645843203654,
697610459,42,"bar",1645843204308,0,0,1645843204392,
746865556,15,"bar",1645843204946,1,2,1645843205014,
99282852,51,"bar",1645843206656,48,50,1645843206768,
434848981,42,"bar",1645843207406,68,70,1645843207706,
697610459,43,"area",1645843209165,59,45,1645843209537,
746865556,16,"area",1645843209487,20,8,1645843209914,
99282852,52,"area",1645843209816,92,30,1645843209932,
434848981,43,"area",1645843213208,64,55,1645843213471,
434848981,44,"bubble",1645843215186,42,55,1645843215235,
697610459,44,"bubble",1645843214976,32,20,1645843215482,
746865556,17,"bubble",1645843215347,78,84,1645843215763,
99282852,53,"bubble",1645843216493,20,20,1645843216969,
434848981,45,"bar",1645843217640,92,95,1645843217689,
99282852,54,"bar",1645843219630,41,30,1645843219730,
434848981,46,"area",1645843220346,92,100,1645843220398,
746865556,18,"bar",1645843221019,22,18,1645843221486,
434848981,47,"bubble",1645843223154,36,56,1645843223204,
434848981,48,"bar",1645843225400,7,10,1645843225458,
697610459,45,"bar",1645843225953,80,80,1645843226439,
746865556,19,"area",1645843227080,33,69,1645843227530,
99282852,55,"area",1645843227406,73,40,1645843227918,
434848981,49,"area",1645843230346,58,33,1645843230396,
697610459,46,"area",1645843231186,34,75,1645843231556,
746865556,20,"bubble",1645843231574,55,32,1645843231646,
99282852,56,"bubble",1645843233497,20,20,1645843233965,
746865556,21,"bar",1645843236064,73,73,1645843236357,
99282852,57,"bar",1645843236392,14,20,1645843236491,
434848981,50,"bubble",1645843238898,67,60,1645843239176,
434848981,51,"bar",1645843241160,46,55,1645843241211,
697610459,47,"bubble",1645843241504,33,40,1645843241902,
99282852,58,"area",1645843242154,83,50,1645843242678,
434848981,52,"area",1645843243306,52,33,1645843243360,
746865556,22,"area",1645843243694,19,82,1645843244118,
434848981,53,"bubble",1645843245206,66,55,1645843245255,
434848981,54,"bar",1645843247320,85,90,1645843247378,
746865556,23,"bubble",1645843249387,50,42,1645843249850,
99282852,59,"bubble",1645843249958,18,20,1645843250453,
434848981,55,"area",1645843252024,66,66,1645843252073,
99282852,60,"bar",1645843252581,69,70,1645843252679,
434848981,56,"bubble",1645843254376,62,66,1645843254425,
746865556,24,"bar",1645843254411,87,90,1645843254866,
434848981,57,"bar",1645843258074,69,70,1645843258124,
697610459,48,"bar",1645843258262,57,60,1645843258678,
99282852,61,"area",1645843258542,85,50,1645843259048,
746865556,25,"area",1645843259470,55,70,1645843259887,
697610459,49,"area",1645843261870,68,60,1645843261962,
434848981,58,"area",1645843263313,18,1,1645843263627,
434848981,59,"bubble",1645843265422,28,33,1645843265470,
99282852,62,"bubble",1645843265719,54,30,1645843266217,
434848981,60,"bar",1645843268120,39,33,1645843268168,
697610459,50,"bubble",1645843267592,20,15,1645843268202,
697610459,51,"bar",1645843273069,17,20,1645843273439,
434848981,61,"area",1645843273614,85,88,1645843273880,
434848981,62,"bubble",1645843275794,64,36,1645843275844,
697610459,52,"area",1645843277541,77,55,1645843277629,
746865556,26,"bubble",1645843283233,52,43,1645843283644,
697610459,53,"bubble",1645843286291,66,45,1645843286739,
746865556,27,"bar",1645843286898,56,50,1645843286961,
697610459,54,"bar",1645843291136,57,55,1645843291472,
746865556,28,"area",1645843293607,37,22,1645843294087,
697610459,55,"area",1645843296976,57,90,1645843297501,
746865556,29,"bubble",1645843299951,52,52,1645843300439,
746865556,30,"bar",1645843303925,42,42,1645843303990,
697610459,56,"bubble",1645843310478,38,50,1645843310911,
697610459,57,"bar",1645843322405,29,35,1645843322890,
697610459,58,"area",1645843330583,32,30,1645843331074,
697610459,59,"bubble",1645843334456,41,80,1645843334542,
697610459,60,"bar",1645843338465,100,100,1645843338553,
697610459,61,"area",1645843349170,19,80,1645843349639,
697610459,62,"bubble",1645843353860,28,15,1645843354235,
746865556,31,"area",1645843367183,19,64,1645843367608,
746865556,32,"bubble",1645843409042,12,30,1645843409494,
746865556,33,"bar",1645843412921,78,90,1645843412983,
746865556,34,"area",1645843418027,58,32,1645843418508,
946303072,0,"bar",1645843423399,74,74,1645843423761,
746865556,35,"bubble",1645843423705,88,100,1645843423990,
746865556,36,"bar",1645843429265,97,98,1645843429671,
746865556,37,"area",1645843434392,6,21,1645843434787,
746865556,38,"bubble",1645843442488,73,75,1645843442979,
746865556,39,"bar",1645843449634,78,81,1645843450045,
746865556,40,"area",1645843457045,32,32,1645843457517,
746865556,41,"bubble",1645843471717,55,68,1645843472161,
746865556,42,"bar",1645843475408,49,50,1645843475473,
746865556,43,"area",1645843481553,37,20,1645843481996,
746865556,44,"bubble",1645843487107,13,27,1645843487521,
746865556,45,"bar",1645843490881,68,74,1645843490943,
746865556,46,"area",1645843497861,22,34,1645843498274,
746865556,47,"bubble",1645843502804,88,85,1645843503296,
746865556,48,"bar",1645843506842,23,26,1645843506905,
746865556,49,"area",1645843510097,6,12,1645843510170,
746865556,50,"bubble",1645843516361,33,49,1645843516810,
746865556,51,"bar",1645843521665,73,79,1645843522144,
746865556,52,"area",1645843527409,73,69,1645843527870,
746865556,53,"bubble",1645843541198,31,67,1645843541693,
746865556,54,"bar",1645843548176,43,40,1645843548654,
946303072,1,"area",1645843548384,16,16,1645843548910,
746865556,55,"area",1645843552450,42,70,1645843552903,
746865556,56,"bubble",1645843558124,70,70,1645843558686,
746865556,57,"bar",1645843562349,97,96,1645843562414,
746865556,58,"area",1645843569571,20,56,1645843569864,
746865556,59,"bubble",1645843577370,85,70,1645843578140,
746865556,60,"bar",1645843583469,53,55,1645843584191,
746865556,61,"area",1645843589625,27,70,1645843591077,
746865556,62,"bubble",1645843596220,84,76,1645843596679,
946303072,2,"bubble",1645843615661,25,25,1645843616181,
946303072,3,"bar",1645843625118,78,82,1645843625494,
946303072,4,"area",1645843638853,30,18,1645843639312,
946303072,5,"bubble",1645843662238,29,70,1645843662554,
946303072,6,"bar",1645843712406,44,38,1645843712840,
946303072,7,"area",1645843720240,60,50,1645843720721,
946303072,8,"bubble",1645843725954,28,50,1645843726299,
946303072,9,"bar",1645843763497,39,35,1645843763932,
970368162,0,"bar",1645843762525,67,67,1645843763944,
946303072,10,"area",1645843774311,18,88,1645843774797,
970368162,1,"area",1645843776379,55,55,1645843778047,
970368162,2,"bubble",1645843781275,25,25,1645843782794,
946303072,11,"bubble",1645843800812,55,70,1645843801325,
946303072,12,"bar",1645843810239,27,20,1645843810745,
946303072,13,"area",1645843814491,50,45,1645843814588,
970368162,3,"bar",1645843818035,26,25,1645843819446,
946303072,14,"bubble",1645843820602,20,12,1645843821071,
946303072,15,"bar",1645843826941,31,28,1645843827422,
970368162,4,"area",1645843836595,72,49,1645843838266,
